record_id,canonical_id,row_index,subject_qid,relation_id,update_date,split,grouping_key,seed,split_version,is_ptc__qwen-2.5-1.5b,knowledge_absent__qwen-2.5-1.5b,is_ptc__qwen-2.5-7b,knowledge_absent__qwen-2.5-7b,is_ptc__mistral-7b-v0.3,knowledge_absent__mistral-7b-v0.3,is_ptc__llama-3.1-8b,knowledge_absent__llama-3.1-8b
P6:Q851:Q57298->Q367825@2015-01-23,P6:Q851:Q57298->Q367825,76,Q851,P6,2015-01-23,train,Q851,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1874:Q609435->Q4235602@2010-11-06,P6:Q1874:Q609435->Q4235602,77,Q1874,P6,2010-11-06,train,Q1874,20260712,v1,0,1,0,0,0,0,0,0
P6:Q1874:Q4235602->Q16165805@2013-11-04,P6:Q1874:Q4235602->Q16165805,78,Q1874,P6,2013-11-04,train,Q1874,20260712,v1,0,1,0,1,0,1,0,1
P6:Q1874:Q16165805->Q12162684@2014-05-27,P6:Q1874:Q16165805->Q12162684,79,Q1874,P6,2014-05-27,train,Q1874,20260712,v1,0,0,0,0,0,0,0,0
P6:Q26555:Q1890942->Q2187104@2017-09-08,P6:Q26555:Q1890942->Q2187104,80,Q26555,P6,2017-09-08,calibration,Q26555,20260712,v1,0,0,0,1,0,0,0,1
P6:Q134093:Q656644->Q80073979@2019-12-07,P6:Q134093:Q656644->Q80073979,81,Q134093,P6,2019-12-07,train,Q134093,20260712,v1,0,1,0,1,0,0,0,0
P6:Q191:Q57640->Q3785077@2014-03-26,P6:Q191:Q57640->Q3785077,82,Q191,P6,2014-03-26,validation,Q191,20260712,v1,0,0,0,0,1,0,0,0
P6:Q191:Q3785077->Q2621730@2016-11-23,P6:Q191:Q3785077->Q2621730,83,Q191,P6,2016-11-23,validation,Q191,20260712,v1,0,0,0,0,0,0,0,0
P6:Q191:Q2621730->Q11869065@2021-01-26,P6:Q191:Q2621730->Q11869065,84,Q191,P6,2021-01-26,validation,Q191,20260712,v1,0,0,1,0,1,0,1,0
P6:Q846:Q57734->Q4666105@2013-06-26,P6:Q846:Q57734->Q4666105,85,Q846,P6,2013-06-26,train,Q846,20260712,v1,0,0,0,0,0,0,0,0
P6:Q846:Q4666105->Q83849153@2020-01-28,P6:Q846:Q4666105->Q83849153,86,Q846,P6,2020-01-28,train,Q846,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1770:Q16403144->Q4250802@2019-04-04,P6:Q1770:Q16403144->Q4250802,87,Q1770,P6,2019-04-04,test,Q1770,20260712,v1,0,1,0,0,0,0,0,0
P6:Q236:Q200305->Q57746@2010-12-29,P6:Q236:Q200305->Q57746,88,Q236,P6,2010-12-29,test,Q236,20260712,v1,0,0,0,0,0,0,0,0
P6:Q236:Q57746->Q200305@2012-12-04,P6:Q236:Q57746->Q200305,89,Q236,P6,2012-12-04,test,Q236,20260712,v1,0,0,0,0,0,0,0,0
P6:Q236:Q200305->Q27941657@2016-11-28,P6:Q236:Q200305->Q27941657,90,Q236,P6,2016-11-28,test,Q236,20260712,v1,0,0,0,0,0,0,0,0
P6:Q236:Q27941657->Q97999161@2020-12-04,P6:Q236:Q27941657->Q97999161,91,Q236,P6,2020-12-04,test,Q236,20260712,v1,0,0,0,0,0,0,0,0
P6:Q236:Q97999161->Q16353146@2022-04-28,P6:Q236:Q97999161->Q16353146,92,Q236,P6,2022-04-28,test,Q236,20260712,v1,1,0,0,0,1,0,1,0
P6:Q805:Q362268->Q57905@2011-12-10,P6:Q805:Q362268->Q57905,93,Q805,P6,2011-12-10,train,Q805,20260712,v1,0,1,0,0,0,0,0,0
P6:Q805:Q57905->Q6399485@2014-11-07,P6:Q805:Q57905->Q6399485,94,Q805,P6,2014-11-07,train,Q805,20260712,v1,1,1,0,0,0,0,1,0
P6:Q805:Q6399485->Q20385886@2016-04-03,P6:Q805:Q6399485->Q20385886,95,Q805,P6,2016-04-03,train,Q805,20260712,v1,0,1,0,0,1,0,0,0
P6:Q805:Q20385886->Q57373157@2018-10-15,P6:Q805:Q20385886->Q57373157,96,Q805,P6,2018-10-15,train,Q805,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1025:Q440509->Q3571335@2014-08-20,P6:Q1025:Q440509->Q3571335,97,Q1025,P6,2014-08-20,train,Q1025,20260712,v1,0,1,0,0,0,0,1,0
P6:Q1025:Q3571335->Q58014343@2018-10-29,P6:Q1025:Q3571335->Q58014343,98,Q1025,P6,2018-10-29,train,Q1025,20260712,v1,0,0,0,0,0,0,1,0
P6:Q1025:Q58014343->Q3155412@2019-08-05,P6:Q1025:Q58014343->Q3155412,99,Q1025,P6,2019-08-05,train,Q1025,20260712,v1,0,1,0,0,0,0,0,0
P6:Q1025:Q3155412->Q98137599@2020-08-06,P6:Q1025:Q3155412->Q98137599,100,Q1025,P6,2020-08-06,train,Q1025,20260712,v1,0,0,0,0,0,0,1,0
P6:Q132751:Q189287->Q64783824@2019-04-30,P6:Q132751:Q189287->Q64783824,101,Q132751,P6,2019-04-30,train,Q132751,20260712,v1,0,0,0,0,0,0,0,0
P6:Q783:Q299442->Q4737@2010-01-27,P6:Q783:Q299442->Q4737,102,Q783,P6,2010-01-27,train,Q783,20260712,v1,0,0,0,0,0,0,0,0
P6:Q783:Q4737->Q5951723@2014-01-27,P6:Q783:Q4737->Q5951723,103,Q783,P6,2014-01-27,train,Q783,20260712,v1,0,0,0,0,1,0,0,0
P6:Q783:Q5951723->Q8044708@2022-01-27,P6:Q783:Q5951723->Q8044708,104,Q783,P6,2022-01-27,train,Q783,20260712,v1,0,0,1,0,0,0,1,0
P6:Q1032:Q386527->Q57877@2011-04-07,P6:Q1032:Q386527->Q57877,105,Q1032,P6,2011-04-07,train,Q1032,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1032:Q57877->Q7110324@2021-04-03,P6:Q1032:Q57877->Q7110324,106,Q1032,P6,2021-04-03,train,Q1032,20260712,v1,0,1,0,0,0,0,1,0
P6:Q45761:Q8294022->Q9010448@2020-11-01,P6:Q45761:Q8294022->Q9010448,107,Q45761,P6,2020-11-01,test,Q45761,20260712,v1,0,1,0,0,0,1,0,1
P6:Q1030:Q57834->Q1568274@2012-12-04,P6:Q1030:Q57834->Q1568274,108,Q1030,P6,2012-12-04,train,Q1030,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1030:Q1568274->Q7395683@2015-03-21,P6:Q1030:Q1568274->Q7395683,109,Q1030,P6,2015-03-21,train,Q1030,20260712,v1,0,0,0,0,0,0,0,0
P6:Q712:Q57830->Q981549@2022-12-24,P6:Q712:Q57830->Q981549,110,Q712,P6,2022-12-24,validation,Q712,20260712,v1,0,0,0,0,1,0,1,0
P6:Q985:Q57956->Q69361@2010-02-10,P6:Q985:Q57956->Q69361,111,Q985,P6,2010-02-10,train,Q985,20260712,v1,0,0,0,0,1,0,0,0
P6:Q985:Q69361->Q61051@2011-05-12,P6:Q985:Q69361->Q61051,112,Q985,P6,2011-05-12,train,Q985,20260712,v1,0,0,0,0,0,0,0,0
P6:Q61:Q372911->Q3068781@2011-01-02,P6:Q61:Q372911->Q3068781,113,Q61,P6,2011-01-02,train,Q61,20260712,v1,0,0,0,0,1,0,0,0
P6:Q61:Q3068781->Q6938597@2015-01-02,P6:Q61:Q3068781->Q6938597,114,Q61,P6,2015-01-02,train,Q61,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1726:Q1083811->Q1222671@2014-05-01,P6:Q1726:Q1083811->Q1222671,115,Q1726,P6,2014-05-01,train,Q1726,20260712,v1,0,0,0,0,0,0,0,0
P6:Q5400:Q1062350->Q982320@2012-04-28,P6:Q5400:Q1062350->Q982320,116,Q5400,P6,2012-04-28,train,Q5400,20260712,v1,0,1,0,1,0,0,0,0
P6:Q5400:Q982320->Q28681100@2017-02-06,P6:Q5400:Q982320->Q28681100,117,Q5400,P6,2017-02-06,train,Q5400,20260712,v1,0,0,0,0,0,0,0,0
P6:Q5400:Q28681100->Q84500260@2020-02-06,P6:Q5400:Q28681100->Q84500260,118,Q5400,P6,2020-02-06,train,Q5400,20260712,v1,0,1,0,0,1,0,0,0
P6:Q58731:Q1047419->Q5867703@2013-11-01,P6:Q58731:Q1047419->Q5867703,119,Q58731,P6,2013-11-01,train,Q58731,20260712,v1,1,0,0,0,0,0,0,0
P6:Q58731:Q5867703->Q16144704@2019-11-01,P6:Q58731:Q5867703->Q16144704,120,Q58731,P6,2019-11-01,train,Q58731,20260712,v1,0,0,0,0,1,0,1,0
P6:Q58731:Q16144704->Q62717140@2021-11-01,P6:Q58731:Q16144704->Q62717140,121,Q58731,P6,2021-11-01,train,Q58731,20260712,v1,0,1,0,0,0,0,1,0
P6:Q7875:Q1083869->Q56165298@2018-07-01,P6:Q7875:Q1083869->Q56165298,122,Q7875,P6,2018-07-01,train,Q7875,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1461:Q716656->Q212733@2013-06-30,P6:Q1461:Q716656->Q212733,123,Q1461,P6,2013-06-30,calibration,Q1461,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1461:Q212733->Q6081353@2019-06-30,P6:Q1461:Q212733->Q6081353,124,Q1461,P6,2019-06-30,calibration,Q1461,20260712,v1,0,1,0,0,0,0,0,0
P6:Q1461:Q6081353->Q101204585@2022-06-30,P6:Q1461:Q6081353->Q101204585,125,Q1461,P6,2022-06-30,calibration,Q1461,20260712,v1,0,1,0,1,0,0,0,0
P6:Q1867:Q709307->Q18113714@2014-12-25,P6:Q1867:Q709307->Q18113714,126,Q1867,P6,2014-12-25,calibration,Q1867,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1867:Q18113714->Q15920021@2022-12-25,P6:Q1867:Q18113714->Q15920021,127,Q1867,P6,2022-12-25,calibration,Q1867,20260712,v1,0,1,0,1,1,0,0,0
P6:Q9105560:Q709307->Q18113714@2014-12-25,P6:Q9105560:Q709307->Q18113714,128,Q9105560,P6,2014-12-25,train,Q9105560,20260712,v1,0,0,0,0,0,0,0,0
P6:Q9105560:Q18113714->Q15920021@2022-12-25,P6:Q9105560:Q18113714->Q15920021,129,Q9105560,P6,2022-12-25,train,Q9105560,20260712,v1,0,1,0,1,0,0,1,0
P6:Q1479:Q215569->Q61740764@2019-03-07,P6:Q1479:Q215569->Q61740764,130,Q1479,P6,2019-03-07,train,Q1479,20260712,v1,0,1,0,1,0,0,0,0
P6:Q1479:Q61740764->Q55599019@2020-07-03,P6:Q1479:Q61740764->Q55599019,131,Q1479,P6,2020-07-03,train,Q1479,20260712,v1,0,1,0,0,0,0,0,0
P6:Q1194:Q62196->Q69036@2012-01-01,P6:Q1194:Q62196->Q69036,132,Q1194,P6,2012-01-01,train,Q1194,20260712,v1,0,1,1,0,0,0,1,0
P6:Q1194:Q69036->Q969340@2017-01-01,P6:Q1194:Q69036->Q969340,133,Q1194,P6,2017-01-01,train,Q1194,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1198:Q60975->Q61938@2010-07-14,P6:Q1198:Q60975->Q61938,134,Q1198,P6,2010-07-14,calibration,Q1198,20260712,v1,0,0,0,0,0,0,1,0
P6:Q1198:Q61938->Q78205@2017-06-27,P6:Q1198:Q61938->Q78205,135,Q1198,P6,2017-06-27,calibration,Q1198,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1198:Q78205->Q1387541@2021-10-27,P6:Q1198:Q78205->Q1387541,136,Q1198,P6,2021-10-27,calibration,Q1198,20260712,v1,0,0,0,0,0,0,0,0
P6:Q815913:Q62356->Q16149064@2015-05-29,P6:Q815913:Q62356->Q16149064,137,Q815913,P6,2015-05-29,train,Q815913,20260712,v1,0,0,0,0,0,0,0,0
P6:Q815913:Q16149064->Q56678515@2019-05-29,P6:Q815913:Q16149064->Q56678515,138,Q815913,P6,2019-05-29,train,Q815913,20260712,v1,0,0,0,0,0,0,0,0
P6:Q14424:Q871892->Q62084068@2014-10-12,P6:Q14424:Q871892->Q62084068,139,Q14424,P6,2014-10-12,test,Q14424,20260712,v1,0,0,0,0,0,0,0,0
P6:Q44754:Q1162679->Q6782004@2015-12-10,P6:Q44754:Q1162679->Q6782004,140,Q44754,P6,2015-12-10,train,Q44754,20260712,v1,0,0,0,0,0,0,0,0
P6:Q44754:Q6782004->Q3754443@2019-12-11,P6:Q44754:Q6782004->Q3754443,141,Q44754,P6,2019-12-11,train,Q44754,20260712,v1,0,0,0,0,1,0,0,0
P6:Q791458:Q110846908->Q110847015@2019-01-01,P6:Q791458:Q110846908->Q110847015,142,Q791458,P6,2019-01-01,train,Q791458,20260712,v1,0,1,0,1,0,0,0,0
P6:Q23681:Q332476->Q57886@2010-05-17,P6:Q23681:Q332476->Q57886,143,Q23681,P6,2010-05-17,test,Q23681,20260712,v1,0,1,0,1,0,0,0,0
P6:Q23681:Q57886->Q14330482@2013-06-13,P6:Q23681:Q57886->Q14330482,144,Q23681,P6,2013-06-13,test,Q23681,20260712,v1,0,1,0,1,0,0,0,0
P6:Q23681:Q6065323->Q20669153@2015-07-16,P6:Q23681:Q6065323->Q20669153,145,Q23681,P6,2015-07-16,test,Q23681,20260712,v1,0,0,0,0,0,0,0,0
P6:Q23681:Q20669153->Q58174@2016-04-16,P6:Q23681:Q20669153->Q58174,146,Q23681,P6,2016-04-16,test,Q23681,20260712,v1,0,1,0,0,0,0,0,0
P6:Q23681:Q58174->Q47188815@2018-02-02,P6:Q23681:Q58174->Q47188815,147,Q23681,P6,2018-02-02,test,Q23681,20260712,v1,0,1,0,1,0,0,1,0
P6:Q23681:Q47188815->Q6057339@2019-05-22,P6:Q23681:Q47188815->Q6057339,148,Q23681,P6,2019-05-22,test,Q23681,20260712,v1,0,0,0,0,0,0,0,0
P6:Q23681:Q6057339->Q28600107@2020-12-09,P6:Q23681:Q6057339->Q28600107,149,Q23681,P6,2020-12-09,test,Q23681,20260712,v1,0,1,0,1,0,0,0,0
